seg_id,order,loop,from,to,length_m,bidir
Senkang_East_Inner_Sengkang_Ranggung,0,Senkang East Inner,Sengkang,Ranggung,1028.334,0
Senkang_East_Inner_Ranggung_Kangkar,1,Senkang East Inner,Ranggung,Kangkar,834.788,0
Senkang_East_Inner_Kangkar_Bakau,2,Senkang East Inner,Kangkar,Bakau,586.268,0
Senkang_East_Inner_Bakau_Rumbia,3,Senkang East Inner,Bakau,Rumbia,473.015,0
Senkang_East_Inner_Rumbia_Compassvale,4,Senkang East Inner,Rumbia,Compassvale,709.598,0
Senkang_East_Inner_Compassvale_Sengkang,5,Senkang East Inner,Compassvale,Sengkang,837.597,0
Senkang_East_Outer_Sengkang_Compassvale,0,Senkang East Outer,Sengkang,Compassvale,833.437,0
Senkang_East_Outer_Compassvale_Rumbia,1,Senkang East Outer,Compassvale,Rumbia,710.902,0
Senkang_East_Outer_Rumbia_Bakau,2,Senkang East Outer,Rumbia,Bakau,479.308,0
Senkang_East_Outer_Bakau_Kangkar,3,Senkang East Outer,Bakau,Kangkar,582.052,0
Senkang_East_Outer_Kangkar_Ranggung,4,Senkang East Outer,Kangkar,Ranggung,839.990,0
Senkang_East_Outer_Ranggung_Sengkang,5,Senkang East Outer,Ranggung,Sengkang,1054.211,0
